"filename", "language", "Python", "CSV", "Properties", "comment", "blank", "total"
"d:\python\3.12.2\lib\site-packages\scalesim\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\python\3.12.2\lib\site-packages\scalesim\compute\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\python\3.12.2\lib\site-packages\scalesim\compute\operand_matrix.py", "Python", 228, 0, 0, 75, 58, 361
"d:\python\3.12.2\lib\site-packages\scalesim\compute\systolic_compute_is.py", "Python", 251, 0, 0, 52, 111, 414
"d:\python\3.12.2\lib\site-packages\scalesim\compute\systolic_compute_os.py", "Python", 276, 0, 0, 81, 123, 480
"d:\python\3.12.2\lib\site-packages\scalesim\compute\systolic_compute_ws.py", "Python", 244, 0, 0, 62, 109, 415
"d:\python\3.12.2\lib\site-packages\scalesim\configs\eyeriss.cfg", "Properties", 0, 0, 16, 0, 3, 19
"d:\python\3.12.2\lib\site-packages\scalesim\configs\google.cfg", "Properties", 0, 0, 16, 0, 3, 19
"d:\python\3.12.2\lib\site-packages\scalesim\configs\scale.cfg", "Properties", 0, 0, 16, 0, 3, 19
"d:\python\3.12.2\lib\site-packages\scalesim\memory\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\python\3.12.2\lib\site-packages\scalesim\memory\double_buffered_scratchpad_mem.py", "Python", 370, 0, 0, 59, 122, 551
"d:\python\3.12.2\lib\site-packages\scalesim\memory\read_buffer.py", "Python", 355, 0, 0, 379, 181, 915
"d:\python\3.12.2\lib\site-packages\scalesim\memory\read_buffer_estimate_bw.py", "Python", 350, 0, 0, 296, 170, 816
"d:\python\3.12.2\lib\site-packages\scalesim\memory\read_buffer_old.py", "Python", 217, 0, 0, 74, 81, 372
"d:\python\3.12.2\lib\site-packages\scalesim\memory\read_port.py", "Python", 43, 0, 0, 15, 20, 78
"d:\python\3.12.2\lib\site-packages\scalesim\memory\write_buffer.py", "Python", 233, 0, 0, 285, 135, 653
"d:\python\3.12.2\lib\site-packages\scalesim\memory\write_buffer2.py", "Python", 0, 0, 0, 205, 56, 261
"d:\python\3.12.2\lib\site-packages\scalesim\memory\write_buffer_old.py", "Python", 141, 0, 0, 34, 48, 223
"d:\python\3.12.2\lib\site-packages\scalesim\memory\write_port.py", "Python", 18, 0, 0, 7, 9, 34
"d:\python\3.12.2\lib\site-packages\scalesim\scale.py", "Python", 34, 0, 0, 0, 6, 40
"d:\python\3.12.2\lib\site-packages\scalesim\scale_config.py", "Python", 205, 0, 0, 15, 62, 282
"d:\python\3.12.2\lib\site-packages\scalesim\scale_sim.py", "Python", 97, 0, 0, 29, 30, 156
"d:\python\3.12.2\lib\site-packages\scalesim\simulator.py", "Python", 122, 0, 0, 8, 42, 172
"d:\python\3.12.2\lib\site-packages\scalesim\single_layer_sim.py", "Python", 206, 0, 0, 29, 64, 299
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\CSV\DeepBench.csv", "CSV", 0, 108, 0, 0, 0, 108
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\CSV\DeepBenchLSTM.csv", "CSV", 0, 26, 0, 0, 4, 30
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\CSV\DeepBench_DenseMatrixMultiplication.csv", "CSV", 0, 85, 0, 0, 1, 86
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\CSV\FasterRCNN.csv", "CSV", 0, 47, 0, 0, 1, 48
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\CSV\LSTM.csv", "CSV", 0, 12, 0, 0, 0, 12
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\CSV\MLPERF.csv", "CSV", 0, 1104, 0, 0, 15, 1119
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\GEMM_mnk\NCF.csv", "CSV", 0, 13, 0, 0, 0, 13
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\GEMM_mnk\gnmt.csv", "CSV", 0, 18, 0, 0, 0, 18
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\GEMM_mnk\gpt2.csv", "CSV", 0, 7, 0, 0, 0, 7
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\GEMM_mnk\test_mnk_input.csv", "CSV", 0, 2, 0, 0, 0, 2
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\GEMM_mnk\transformer_partial.csv", "CSV", 0, 7, 0, 0, 0, 7
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\GEMM_mnk\unet2d.csv", "CSV", 0, 20, 0, 0, 0, 20
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\conv_nets\FasterRCNN.csv", "CSV", 0, 47, 0, 0, 1, 48
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\conv_nets\Googlenet.csv", "CSV", 0, 59, 0, 0, 2, 61
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\conv_nets\MobileNet_4k_non_dw.csv", "CSV", 0, 16, 0, 0, 0, 16
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\conv_nets\Resnet18.csv", "CSV", 0, 22, 0, 0, 0, 22
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\conv_nets\Resnet50.csv", "CSV", 0, 56, 0, 0, 0, 56
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\conv_nets\Resnet50_4k_no_pool.csv", "CSV", 0, 55, 0, 0, 1, 56
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\conv_nets\Resnet_test.csv", "CSV", 0, 2, 0, 0, 1, 3
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\conv_nets\UNet_2d.csv", "CSV", 0, 20, 0, 0, 0, 20
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\conv_nets\UNet_maestro.csv", "CSV", 0, 24, 0, 0, 0, 24
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\conv_nets\alexnet.csv", "CSV", 0, 6, 0, 0, 1, 7
