LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1, 1062401, 539648, 1, 1062381, 539328, 0, 1062411, 34527232, 1, 52, 512, 1, 3449, 34488, 4032, 1064159, 17258496,
1, 1, 1086, 1024, 1, 1117, 32768, 542, 1147, 2112, 1, 52, 512, 1, 3277, 32768, 1147, 1148, 64,
2, 1, 1086, 1024, 1, 1117, 32768, 542, 1147, 2112, 1, 52, 512, 1, 3277, 32768, 1147, 1148, 64,
3, 1, 1086, 1024, 1, 1117, 32768, 542, 1147, 2112, 1, 52, 512, 1, 3277, 32768, 1147, 1148, 64,
4, 1, 221, 128, 1, 221, 128, 0, 251, 8192, 1, 7, 64, 1, 7, 64, 251, 378, 4096,
5, 1, 221, 4096, 1, 190, 128, 63, 220, 2112, 1, 410, 4096, 1, 7, 64, 251, 252, 64,
6, 1, 9122, 8192, 1, 9153, 262144, 542, 9183, 16896, 1, 52, 512, 1, 26215, 262144, 9183, 9198, 512,
7, 1, 1086, 1024, 1, 1117, 32768, 542, 1147, 2112, 1, 52, 512, 1, 3277, 32768, 1147, 1148, 64,
8, 1, 1086, 1024, 1, 1117, 32768, 542, 1147, 2112, 1, 52, 512, 1, 3277, 32768, 1147, 1148, 64,
9, 1, 1086, 1024, 1, 1117, 32768, 542, 1147, 2112, 1, 52, 512, 1, 3277, 32768, 1147, 1148, 64,
10, 1, 221, 128, 1, 221, 128, 0, 251, 8192, 1, 7, 64, 1, 7, 64, 251, 378, 4096,
11, 1, 221, 4096, 1, 190, 128, 63, 220, 2112, 1, 410, 4096, 1, 7, 64, 251, 252, 64,
12, 1, 9122, 8192, 1, 9153, 262144, 542, 9183, 16896, 1, 52, 512, 1, 26215, 262144, 9183, 9198, 512,
13, 1, 1086, 1024, 1, 1117, 32768, 542, 1147, 2112, 1, 52, 512, 1, 3277, 32768, 1147, 1148, 64,
14, 1, 1086, 1024, 1, 1117, 32768, 542, 1147, 2112, 1, 52, 512, 1, 3277, 32768, 1147, 1148, 64,
15, 1, 1086, 1024, 1, 1117, 32768, 542, 1147, 2112, 1, 52, 512, 1, 3277, 32768, 1147, 1148, 64,
16, 1, 221, 128, 1, 221, 128, 0, 251, 8192, 1, 7, 64, 1, 7, 64, 251, 378, 4096,
